1/1/1 22 December 1967, Nicholas Parsons with Derek Nimmo, Clement Freud, Wilma Ewart and Beryl Reid, excuses for being late.
2/1/2 29 December 1967, Nicholas Parsons with Derek Nimmo, Clement Freud, Sheila Hancock and Carol Binstead, bedrooms.
3/1/3 5 January 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Betty Marsden and Elisabeth Beresford, ?
4/1/4 12 January 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Isobel Barnett and Bettine Le Beau, ?
5/1/5 20 January 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Andree Melly and Prunella Scales, the brownies
6/1/6 27 January 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Marjorie Proops and Millie Small, ?
7/1/7 2 February 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Aimi Macdonald and Una Stubbs, my honeymoon.
8/1/8 9 February 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Lucy Bartlett and Anona Winn, bloomer.
9/1/9 17 February 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Andree Melly and Charmian Innes, ?
10/1/10 23 February 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Barbara Blake and Renee Houston, my first grown-up dress.
11/1/11 1 March 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Andree Melly and Eleanor Summerfield, ?
12/1/12 8 March 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Andree Melly and Betty Marsden, ?
13/1/13 15 March 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Andree Melly and Charmian Innes, when I wear a top hat.
14/1/14 22 March 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Andree Melly and Betty Marsden, keeping wicket.
15/1/15 29 March 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Andree Melly and Charmian Innes, outdoor games.
16/1/16 5 April 1968, Nicholas Parsons with Derek Nimmo, Clement Freud, Andree Melly and Aimi Macdonald, how to stay lovely.
17/2/1 30 September 1968, Nicholas Parsons with Kenneth Williams, Clement Freud and Geraldine Jones, learning to fly.
18/2/2 7 October 1968, Clement Freud with Kenneth Williams, Nicholas Parsons and Geraldine Jones, making an entrance.
19/2/3 14 October 1968, Geraldine Jones with Kenneth Williams, Clement Freud and Nicholas Parsons, how to eat macaroni delicately and without cutting it.
20/2/4 21 October 1968, Kenneth Williams with Clement Freud, Nicholas Parsons and Geraldine Jones, the days of the week.
21/2/5 28 October 1968, Nicholas Parsons with Kenneth Williams, Clement Freud and Geraldine Jones, winter woollies.
22/2/6 4 November 1968, Nicholas Parsons with Kenneth Williams, Clement Freud and Geraldine Jones, Pythagoras.
23/3/1 31 December 1968, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Geraldine Jones, ?
